,variant,respondent,task,taskText,taskOrder,time,interactions,certainty,difficulty,note,success,directSuccess,direct,firstClick,finalClick,pathLength,backclicks,backtracks,backsteps,path,firstClickName,finalClickName
1,TP,3,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,6,26.0,"[""1"", ""1-2"", ""1-2"", ""1-3"", ""1-3-0"", ""1-3-0"", ""1-2"", ""1-2-1"", ""1-2-1"", ""1-2-2"", ""1-2-2-6""]",7.0,5.0,,True,False,False,1,1-2-2-6,11,4,4,4,"[[""1""], [""1"", ""1-2""], [""1""], [""1"", ""1-3""], [""1"", ""1-3"", ""1-3-0""], [""1"", ""1-3""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-2""], [""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]]",Entertainment,Comedy
2,TP,3,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",8,19.0,"[""6"", ""6"", ""1"", ""1-5"", ""1-5-1""]",7.0,6.0,,True,False,False,6,1-5-1,5,1,1,1,"[[""6""], [], [""1""], [""1"", ""1-5""], [""1"", ""1-5"", ""1-5-1""]]",Lifestyle,Cinemas near you
3,TP,3,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,4,14.0,"[""2"", ""2-2"", ""2-2-4"", ""2-2-4"", ""2-2-3""]",7.0,7.0,,False,False,False,2,2-2-3,5,1,1,1,"[[""2""], [""2"", ""2-2""], [""2"", ""2-2"", ""2-2-4""], [""2"", ""2-2""], [""2"", ""2-2"", ""2-2-3""]]",Hobbies,Recipes
4,TP,3,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,10,38.0,"[""6"", ""6-1"", ""6-1"", ""6-0"", ""6-0"", ""6-1"", ""6-1-2"", ""6-1-2"", ""6"", ""2"", ""2"", ""3"", ""3"", ""7"", ""7"", ""6"", ""6-1"", ""6-1-2""]",3.0,3.0,,False,False,False,6,6-1-2,18,7,6,8,"[[""6""], [""6"", ""6-1""], [""6""], [""6"", ""6-0""], [""6""], [""6"", ""6-1""], [""6"", ""6-1"", ""6-1-2""], [""6"", ""6-1""], [], [""2""], [], [""3""], [], [""7""], [], [""6""], [""6"", ""6-1""], [""6"", ""6-1"", ""6-1-2""]]",Lifestyle,Self-growth
5,TP,3,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,1,34.0,"[""1"", ""1-4"", ""1-4"", ""1"", ""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]",7.0,5.0,,True,False,False,1,2-1-1-8,8,2,1,2,"[[""1""], [""1"", ""1-4""], [""1""], [], [""2""], [""2"", ""2-1""], [""2"", ""2-1"", ""2-1-1""], [""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]]",Entertainment,Boxing
6,TP,3,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,9,19.0,"[""0"", ""0-1"", ""0-1"", ""0"", ""2"", ""2"", ""3"", ""3-2"", ""3-2-5""]",6.0,6.0,,False,False,False,0,3-2-5,9,3,2,3,"[[""0""], [""0"", ""0-1""], [""0""], [], [""2""], [], [""3""], [""3"", ""3-2""], [""3"", ""3-2"", ""3-2-5""]]",Trending,Latest trends
7,TP,3,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",5,26.0,"[""5"", ""5"", ""6"", ""6"", ""3"", ""4"", ""4"", ""3"", ""3-4"", ""3-4-1""]",7.0,5.0,,True,False,False,5,3-4-1,10,4,3,4,"[[""5""], [], [""6""], [], [""3""], [""4""], [], [""3""], [""3"", ""3-4""], [""3"", ""3-4"", ""3-4-1""]]",Society,Medieval
8,TP,3,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",3,29.0,"[""6"", ""6"", ""1"", ""1"", ""2"", ""2"", ""4"", ""4-4"", ""4-4-2""]",4.0,3.0,,True,False,False,6,4-4-2,9,3,3,3,"[[""6""], [], [""1""], [], [""2""], [], [""4""], [""4"", ""4-4""], [""4"", ""4-4"", ""4-4-2""]]",Lifestyle,Computers and internet
9,TP,3,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,2,52.0,"[""2"", ""2"", ""4"", ""4-5"", ""4-5"", ""4-2"", ""4-2-0"", ""4-2-0"", ""4-2"", ""4"", ""2"", ""2-6"", ""2-6"", ""2-5"", ""2-5"", ""2"", ""3"", ""3"", ""4"", ""4-2"", ""4-2-0""]",4.0,4.0,,False,False,False,2,4-2-0,21,9,6,9,"[[""2""], [], [""4""], [""4"", ""4-5""], [""4""], [""4"", ""4-2""], [""4"", ""4-2"", ""4-2-0""], [""4"", ""4-2""], [""4""], [], [""2""], [""2"", ""2-6""], [""2""], [""2"", ""2-5""], [""2""], [], [""3""], [], [""4""], [""4"", ""4-2""], [""4"", ""4-2"", ""4-2-0""]]",Hobbies,Zoology
10,TP,3,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",7,14.0,"[""4"", ""4-2"", ""4-2-4""]",7.0,6.0,,False,False,True,4,4-2-4,3,0,0,0,"[[""4""], [""4"", ""4-2""], [""4"", ""4-2"", ""4-2-4""]]",Science,Diseases
