respondent number,task number,task text,result,time spent (seconds),path,first click,destination
2,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,47.993,Lifestyle > Personal development > Personal development > Finances > Finances > Fitness > Fitness < Lifestyle > Entertainment > Entertainment > Culture > Culture > Science > Health and Medicine > Treatments > Research,Lifestyle,Research
2,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,indirect success,21,Trending > Our picks > Latest articles > Popular articles > Our picks > Popular articles,Trending,Popular articles
2,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct failure,12,Entertainment > Films > Reviews,Entertainment,Reviews
2,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,28,Entertainment > Entertainment > Hobbies > Hobbies > Trending > Trending > Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
2,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,35,Lifestyle > Lifestyle > Culture > Culture > Entertainment > Entertainment > Lifestyle > Personal development > Personal development > Fitness > Fitness < Lifestyle > Entertainment > Entertainment > Trending > Trending > Entertainment > Entertainment > Hobbies > Food > Recipes,Lifestyle,Recipes
2,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,12,Society > Family and Relationships > Parenting,Society,Parenting
2,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,29,Entertainment > Entertainment > Hobbies > Hobbies > Entertainment > Entertainment > Hobbies > Travel > Travel > Sports > Sports < Hobbies > Hobbies > Sports > Team sports > Team sports > Individual sports > Boxing,Entertainment,Boxing
2,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,16,Lifestyle > Personal development > Personal development < Lifestyle > Entertainment > Entertainment > Hobbies > Beauty > Clothes,Lifestyle,Clothes
2,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,19,Hobbies > Hobbies > Culture > History > Medieval,Hobbies,Medieval
2,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,65,Entertainment > Entertainment > Hobbies > Hobbies > Trending > Trending > Society > Society > Entertainment > Games > Computer games < Games < Entertainment > Trending > Trending > Hobbies > Hobbies > Culture > Culture > Science > Science > Science > Science > Lifestyle > Lifestyle > Society > Society > About us > About us > Entertainment > Games > Computer games,Entertainment,Computer games
2,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,77,Hobbies > Outdoors > Outdoors < Hobbies > Entertainment > Entertainment > Culture > Culture > Science > Science > Lifestyle > Lifestyle > Society > Society > Entertainment > Entertainment > Entertainment > Entertainment > Hobbies > Sports > Sports > Garden > Garden < Hobbies > Culture > History > World < History < Culture > Hobbies > Outdoors > Outdoors > Garden > Garden < Hobbies > Culture > Art > Art > Theatre > Theatre > Fashion > Fashion > History > World,Hobbies,World
3,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,49,Lifestyle > Lifestyle > Science > Health and Medicine > Treatments < Health and Medicine < Science > Lifestyle > Fitness > Fitness < Lifestyle > Science > Health and Medicine > Treatments,Lifestyle,Treatments
3,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,indirect failure,83,Science > Health and Medicine > Research < Health and Medicine < Science > Entertainment > Music > Artists,Science,Artists
3,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,indirect success,51,Entertainment > TV shows > TV shows > Cinema > Cinema > Films > Genres > Comedy,Entertainment,Comedy
3,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,94,About us > About us > Culture > Theatre > Theatre < Culture > Entertainment > Cinema > Cinemas near you,About us,Cinemas near you
3,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect success,67.979,Culture > Culture > Lifestyle > Lifestyle > Society > Health > Health < Society > Hobbies > Food > Regional cuisine > Mexican cuisine,Culture,Mexican cuisine
3,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,19,Culture > Culture > Society > Family and Relationships > Parenting,Culture,Parenting
3,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,57,Entertainment > Entertainment > Trending > Trending > Society > Society > Lifestyle > Fitness > Martial arts,Entertainment,Martial arts
3,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,53,Society > Society > Lifestyle > Lifestyle > Trending > Trending > Society > Society > Hobbies > Beauty > Clothes,Society,Clothes
3,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,22,Culture > History > Medieval,Culture,Medieval
3,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",direct success,103,Science > Technology > Computers and internet,Science,Computers and internet
3,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,26,Science > Nature > Animals,Science,Animals
4,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,30,Culture > Culture > Science > Physics > Physics > Health and Medicine > Treatments > Research,Culture,Research
4,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,16,Trending > Popular articles,Trending,Popular articles
4,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct failure,13,Culture > Art > Movies and TV shows,Culture,Movies and TV shows
4,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,41,Trending > Trending > Entertainment > TV shows > TV shows > Cinema > Cinemas near you,Trending,Cinemas near you
4,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect success,43.802,Lifestyle > Lifestyle > Lifestyle > Personal development > Personal development < Lifestyle > Science > Science > Culture > Culture > Hobbies > Food > Regional cuisine > Regional cuisine > Regional cuisine > Mexican cuisine,Lifestyle,Mexican cuisine
4,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,14,Society > Family and Relationships > Parenting,Society,Parenting
4,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,29,Hobbies > Sports > Team sports > Team sports > Individual sports > Boxing,Hobbies,Boxing
4,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,30,Hobbies > Hobbies > Culture > Fashion > New collections,Hobbies,New collections
4,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,40,Society > Society > Science > Science > Culture > History > Medieval,Society,Medieval
4,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",direct success,15,Science > Technology > Computers and internet,Science,Computers and internet
4,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,56.51,Science > Environment > Environment < Science > Culture > History > History < Culture > Society > Society > Lifestyle > Lifestyle > About us > About us > Science > Biology > Zoology,Science,Zoology
5,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,36,Lifestyle > Lifestyle > Science > Health and Medicine > Health and Medicine < Science > Culture > Culture > Science > Health and Medicine > Research,Lifestyle,Research
5,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,12,Trending > Popular articles,Trending,Popular articles
5,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,17,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
