respondent number,task number,task text,result,time spent (seconds),path,first click,destination
2,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,21,Lifestyle > Fitness < Lifestyle > Lifestyle > (empty) > Science > Health and Medicine > Research,Lifestyle,Research
2,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,9,Trending > Popular articles,Trending,Popular articles
2,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,10,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
2,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,11,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
2,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,16,Culture > (empty) > Lifestyle > Personal development > (empty) > Trending > (empty) > Lifestyle > Fitness > Diet,Culture,Diet
2,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,17,Lifestyle > Personal development < Lifestyle > Fitness > Fitness > (empty) > Society > Family and Relationships > Parenting,Lifestyle,Parenting
2,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,21,Entertainment > Games < Entertainment > (empty) > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
2,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct success,9,Culture > Fashion > New collections,Culture,New collections
2,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,8,Culture > History > Medieval,Culture,Medieval
2,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,51,Lifestyle > (empty) > Entertainment > (empty) > Entertainment > (empty) > Science > Science > Trending > (empty) > Hobbies > Household < Hobbies > (empty) > Society > (empty) > About us > (empty) > Lifestyle > Personal development > Career,Lifestyle,Career
2,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct failure,10,Science > Biology > Zoology,Science,Zoology
3,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,23,Science > Health and Medicine > Research,Science,Research
3,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,20,Trending > Popular articles,Trending,Popular articles
3,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,17,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
3,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect failure,52,Entertainment > Films > Upcoming releases < Films < Entertainment > (empty) > Hobbies > Hobbies > Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
3,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,21,Lifestyle > Lifestyle > Hobbies > Food > Recipes,Lifestyle,Recipes
3,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect failure,42,Culture > Culture > Lifestyle > Personal development > (empty) > About us > About us > Science > (empty) > Lifestyle > Personal development > Self-growth < Personal development > Self-care,Culture,Self-care
3,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,33,Culture > Culture > Entertainment > Entertainment > Society > Society > Hobbies > Sports > Individual sports > Boxing,Culture,Boxing
3,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,29,Lifestyle > Lifestyle > Hobbies > Hobbies > Culture > Fashion > New collections,Lifestyle,New collections
3,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,10,Culture > History > Medieval,Culture,Medieval
3,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,33,Lifestyle > Lifestyle > Hobbies > Hobbies > Trending > Trending > Society > Society > Science > Technology > Computers and internet,Lifestyle,Computers and internet
3,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,26,Culture > Culture > Science > Environment > Environment > Biology > Zoology,Culture,Zoology
4,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect success,27,Lifestyle > Fitness < Lifestyle > (empty) > (empty) > Society > Health > Health issues,Lifestyle,Health issues
4,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,33,Trending > Popular articles,Trending,Popular articles
4,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct failure,15,Entertainment > Films > Reviews,Entertainment,Reviews
4,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,48,Science > (empty) > Entertainment > Films > Films > Cinema > Cinemas near you,Science,Cinemas near you
4,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct failure,10,Lifestyle > Fitness > Diet,Lifestyle,Diet
4,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct failure,18,Lifestyle > Personal development > Self-care,Lifestyle,Self-care
