respondent,T1Q1: I felt sure about my answer.,T1Q2: It was easy to complete this task.,T1Q3: Is there any further information you would like to add about this task? (original),T1Q3: Is there any further information you would like to add about this task? (grouped),T2Q1: I felt sure about my answer.,T2Q2: It was easy to complete this task.,T2Q3: Is there any further information you would like to add about this task? (original),T2Q3: Is there any further information you would like to add about this task? (grouped),T3Q1: I felt sure about my answer.,T3Q2: It was easy to complete this task.,T3Q3: Is there any further information you would like to add about this task? (original),T3Q3: Is there any further information you would like to add about this task? (grouped),T4Q1: I felt sure about my answer.,T4Q2: It was easy to complete this task.,T4Q3: Is there any further information you would like to add about this task? (original),T4Q3: Is there any further information you would like to add about this task? (grouped),T5Q1: I felt sure about my answer.,T5Q2: It was easy to complete this task.,T5Q3: Is there any further information you would like to add about this task? (original),T5Q3: Is there any further information you would like to add about this task? (grouped),T6Q1: I felt sure about my answer.,T6Q2: It was easy to complete this task.,T6Q3: Is there any further information you would like to add about this task? (original),T6Q3: Is there any further information you would like to add about this task? (grouped),T7Q1: I felt sure about my answer.,T7Q2: It was easy to complete this task.,T7Q3: Is there any further information you would like to add about this task? (original),T7Q3: Is there any further information you would like to add about this task? (grouped),T8Q1: I felt sure about my answer.,T8Q2: It was easy to complete this task.,T8Q3: Is there any further information you would like to add about this task? (original),T8Q3: Is there any further information you would like to add about this task? (grouped),T9Q1: I felt sure about my answer.,T9Q2: It was easy to complete this task.,T9Q3: Is there any further information you would like to add about this task? (original),T9Q3: Is there any further information you would like to add about this task? (grouped),T10Q1: I felt sure about my answer.,T10Q2: It was easy to complete this task.,T10Q3: Is there any further information you would like to add about this task? (original),T10Q3: Is there any further information you would like to add about this task? (grouped),T11Q1: I felt sure about my answer.,T11Q2: It was easy to complete this task.,T11Q3: Is there any further information you would like to add about this task? (original),T11Q3: Is there any further information you would like to add about this task? (grouped)
4,7,7,,,7,7,,,7,7,,,4,3,I couldn't really find an option. That was the closest.,I couldn't really find an option. That was the closest.,5,6,,,6,6,,,5,5,,,5,6,,,4,3,"There wasn't anything specific I could find, there should be something else under outdoors","There wasn't anything specific I could find, there should be something else under outdoors",6,6,,,7,7,,
5,7,6,,,7,7,,,6,5,,,6,1,,,2,5,,,6,6,,,7,6,,,5,4,,,4,4,,,3,5,,,7,6,,
7,6,6,,,6,6,,,6,6,,,6,6,,,5,6,,,6,5,,,6,6,,,5,6,,,5,4,,,5,6,,,6,6,,
8,7,7,no,no,7,7,,,7,7,,,7,5,,,6,4,,,4,4,,,1,1,,,4,2,,,4,4,,,5,4,,,7,5,,
9,7,7,,,7,7,,,4,3,"You gave me two tasks. 
Find the latest movies and locate the closest cinema. But the dropdown had two options and I can only select one...","You gave me two tasks. 
Find the latest movies and locate the closest cinema. But the dropdown had two options and I can only select one...",7,6,,,5,5,,,7,7,,,6,6,,,6,3,,,5,3,,,3,4,,,7,7,,
12,6,5,,,7,5,,,7,5,,,6,5,,,6,5,,,6,5,,,7,5,,,6,5,,,6,5,,,5,5,,,6,5,,
13,7,7,It was simple navigation.,It was simple navigation.,7,7,,,7,7,,,7,7,Easy to navigate but not orderly sorted.,Easy to navigate but not orderly sorted.,6,6,It should by the recipes.,It should by the recipes.,6,7,,,7,7,Straightforward.,Straightforward.,1,1,No idea where I could find it. There was n osearch option.,No idea where I could find it. There was n osearch option.,7,7,,,4,5,Still unsure about it.,Still unsure about it.,7,7,This one is easy to navigate once you a re familiar with the categories in the website.,This one is easy to navigate once you a re familiar with the categories in the website.
14,7,7,,,7,6,,,7,6,,,6,6,,,7,6,,,7,7,,,6,6,,,6,5,,,5,4,,,5,4,,,7,7,,
16,7,7,,,5,4,,,3,1,,,1,1,,,5,5,,,6,5,,,6,6,,,5,4,,,6,4,,,5,4,,,1,1,,
17,7,6,,,7,7,,,7,7,,,7,4,,,6,4,,,6,4,,,7,4,,,6,6,,,5,5,,,5,3,,,7,4,,
